Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
220,Northwestern State,29,11,18,0.379,-19.3,-7.57,7,11,10,4,1,13,1748,1965,1165,617,1728,0.357,187,615,0.304,327,468,0.699,336,1060,316,210,54,496,497,2022-2023
221,Notre Dame,33,27,6,0.818,29.65,14.68,15,3,15,2,8,2,2438,1944,1325,904,1978,0.457,144,469,0.307,486,690,0.704,456,1419,545,279,158,522,512,2022-2023
222,Oakland,30,13,17,0.433,-11.36,-3.5,8,12,8,6,4,10,1965,2151,1205,698,1949,0.358,189,695,0.272,380,575,0.661,442,1132,332,251,69,426,565,2022-2023
223,Ohio,29,6,23,0.207,-11.82,-1.17,4,14,2,11,4,12,1820,2129,1165,634,1623,0.391,220,746,0.295,332,443,0.749,231,927,347,236,72,493,532,2022-2023
224,Ohio State,36,28,8,0.778,26.91,15.3,12,6,13,4,10,2,2882,2464,1445,1059,2296,0.461,258,771,0.335,506,718,0.705,379,1273,616,406,119,494,641,2022-2023
225,Oklahoma,33,26,7,0.788,21.92,13.19,14,4,13,2,9,4,2777,2489,1332,1008,2235,0.451,296,825,0.359,465,622,0.748,451,1458,686,257,115,556,667,2022-2023
226,Oklahoma State,33,21,12,0.636,20.64,13.55,10,8,14,3,4,6,2485,2251,1335,914,2026,0.451,271,740,0.366,386,546,0.707,320,1217,485,218,104,440,490,2022-2023
227,Old Dominion,34,22,12,0.647,-1.47,-4.68,12,6,13,2,7,7,2246,2123,1370,833,2117,0.393,189,638,0.296,391,621,0.63,469,1308,444,329,87,542,651,2022-2023
228,Omaha,32,15,17,0.469,-10.19,-2.66,8,10,8,6,5,10,2115,2260,1300,742,1831,0.405,183,619,0.296,448,571,0.785,263,1083,384,242,40,494,548,2022-2023
229,Oral Roberts,31,12,19,0.387,-6.07,0.37,8,10,7,6,4,12,2420,2553,1246,879,2078,0.423,230,732,0.314,432,585,0.738,330,1160,404,299,123,510,580,2022-2023
230,Oregon,35,20,15,0.571,25.78,14.75,7,11,14,4,3,8,2603,2217,1405,954,2227,0.428,278,761,0.365,417,571,0.73,452,1452,554,231,140,423,475,2022-2023
231,Oregon State,31,13,18,0.419,17.49,15.29,4,14,10,6,1,8,2076,2008,1250,759,1808,0.42,186,599,0.311,372,501,0.743,313,1230,468,160,115,455,419,2022-2023
232,Pacific,32,15,17,0.469,2.46,4.17,8,10,8,7,5,9,2212,2201,1285,813,2016,0.403,174,534,0.326,412,551,0.748,408,1255,408,277,77,547,589,2022-2023
233,Penn State,31,14,17,0.452,10.95,12.24,4,14,11,6,0,10,2195,2235,1264,818,1921,0.426,192,579,0.332,367,527,0.696,350,1073,467,348,82,522,555,2022-2023
234,Pennsylvania,29,17,12,0.586,2.92,0.74,9,5,12,2,5,9,1838,1720,1165,684,1700,0.402,219,652,0.336,251,374,0.671,334,1100,407,199,103,434,363,2022-2023
235,Pepperdine,30,11,19,0.367,-0.79,1.84,5,13,7,7,2,10,1914,1971,1210,700,1741,0.402,135,424,0.318,379,544,0.697,410,1212,372,189,104,532,534,2022-2023
236,Pittsburgh,30,10,20,0.333,7.82,13.39,3,15,7,9,2,8,1892,2059,1215,700,1799,0.389,184,575,0.32,308,435,0.708,350,1090,376,242,117,478,482,2022-2023
237,Portland,32,23,9,0.719,10.24,6.18,15,3,12,3,7,5,2218,2008,1285,815,1784,0.457,194,599,0.324,394,546,0.722,332,1058,540,307,95,518,509,2022-2023
238,Portland State,31,15,16,0.484,-6.16,-1.72,8,10,10,5,3,10,1879,1943,1250,678,1733,0.391,232,662,0.35,291,397,0.733,295,976,375,249,49,417,448,2022-2023
239,Prairie View,30,15,15,0.5,-14.38,-7.64,12,6,10,3,5,11,1981,2047,1215,662,1813,0.365,207,704,0.294,450,689,0.653,338,1051,361,291,69,535,638,2022-2023
240,Presbyterian,30,13,17,0.433,-18.17,-13.21,9,9,10,4,3,12,1947,1944,1205,748,1723,0.434,230,663,0.347,221,333,0.664,300,1141,429,185,65,594,483,2022-2023
241,Princeton,30,24,6,0.8,16.39,4.35,12,2,12,2,10,4,1956,1595,1205,735,1783,0.412,154,500,0.308,332,470,0.706,390,1125,418,270,109,388,445,2022-2023
242,Providence,32,13,19,0.406,3.85,6.13,4,16,8,9,5,9,1942,2015,1280,736,1833,0.402,146,446,0.327,324,492,0.659,319,1179,351,196,114,462,389,2022-2023
243,Purdue,30,19,11,0.633,19.31,14.04,9,8,10,4,6,4,2114,1956,1205,775,1723,0.45,213,645,0.33,351,453,0.775,267,1061,473,231,99,460,488,2022-2023
244,Purdue Fort Wayne,33,14,19,0.424,-8.58,-4.05,9,11,9,6,5,9,2067,2167,1320,736,1893,0.389,253,839,0.302,342,466,0.734,293,1035,340,304,101,494,578,2022-2023
245,Queens (NC),29,8,21,0.276,-21.66,-7.04,3,15,6,9,2,12,1712,1989,1160,609,1717,0.355,132,495,0.267,362,528,0.686,335,986,218,242,72,469,593,2022-2023
246,Quinnipiac,30,21,9,0.7,-2.44,-9.94,16,4,12,3,9,4,1845,1620,1206,668,1627,0.411,147,492,0.299,362,522,0.693,321,1114,409,239,132,522,504,2022-2023
247,Radford,31,14,17,0.452,-14.13,-13.58,9,9,10,4,3,12,1972,1925,1250,729,1729,0.422,179,570,0.314,335,473,0.708,296,1151,397,261,97,561,497,2022-2023
248,Rhode Island,33,26,7,0.788,9.85,-0.73,14,2,15,1,8,5,2236,1887,1341,817,1964,0.416,259,748,0.346,343,496,0.692,431,1335,467,264,133,528,516,2022-2023
249,Rice,32,23,9,0.719,6.57,1.91,13,7,13,2,10,6,2293,2144,1290,815,1867,0.437,199,612,0.325,464,637,0.728,381,1163,411,237,84,513,609,2022-2023
250,Richmond,32,21,11,0.656,6.9,-0.47,8,6,10,3,6,6,2208,1972,1290,799,1810,0.441,261,747,0.349,349,471,0.741,256,1170,458,207,137,475,439,2022-2023
