Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,Season
320,Utah State,31,16,15,0.516,2.68,2.06,7,11,10,6,5,8,2274,2217,1240,802,1779,0.451,257,695,0.37,413,597,0.692,319,1108,454,171,81,373,546,2015-2016
321,Utah Valley,30,12,18,0.4,-9.58,-3.58,6,8,7,7,5,9,2280,2360,1210,785,1833,0.428,256,729,0.351,454,628,0.723,277,1100,435,176,95,399,627,2015-2016
322,UTEP,33,19,14,0.576,-3.81,-4.93,10,8,14,4,2,9,2554,2471,1335,896,1926,0.465,223,618,0.361,539,809,0.666,299,1197,512,197,116,417,672,2015-2016
323,UTSA,32,5,27,0.156,-16.36,-3.36,3,15,4,10,1,14,2317,2698,1290,796,1915,0.416,220,691,0.318,505,719,0.702,327,1086,366,206,80,435,701,2015-2016
324,Valparaiso,37,30,7,0.811,10.71,0.02,16,2,17,1,12,4,2782,2323,1490,964,2178,0.443,298,829,0.359,556,769,0.723,468,1533,526,246,175,479,731,2015-2016
325,Vanderbilt,33,19,14,0.576,17.2,8.68,11,7,14,2,3,9,2506,2225,1330,857,1879,0.456,273,714,0.382,519,747,0.695,313,1273,487,139,182,386,632,2015-2016
326,Vermont,37,23,14,0.622,-1.51,-4.73,11,5,13,3,9,10,2774,2611,1480,986,2051,0.481,255,666,0.383,547,772,0.709,343,1321,495,212,161,490,719,2015-2016
327,Villanova,40,35,5,0.875,24.08,9.71,16,2,15,1,10,2,3118,2543,1605,1086,2247,0.483,347,959,0.362,599,766,0.782,351,1385,637,282,136,440,681,2015-2016
328,Virginia,37,29,8,0.784,22.04,11.12,13,5,15,0,5,6,2626,2222,1485,964,1964,0.491,224,557,0.402,474,630,0.752,323,1189,551,199,119,345,596,2015-2016
329,Virginia Commonwealth,36,25,11,0.694,13.83,4.35,14,4,15,2,7,4,2781,2440,1450,1010,2238,0.451,262,745,0.352,499,721,0.692,447,1347,515,309,135,405,706,2015-2016
330,VMI,30,9,21,0.3,-12.96,-3.15,4,14,8,6,1,14,2081,2264,1205,729,1770,0.412,263,783,0.336,360,498,0.723,290,996,330,184,126,397,586,2015-2016
